Symbol,Timeframe,RangeStartHour,RangeStartMinute,RangeStartHHMM,RangeDur,StratMode,RRR,RiskPct,MC_Seed,MC_Stress,MC_SpreadMult,MC_SlipPts,MC_DelayMs,MC_FailProb,MC_SignalsTotal,MC_SignalsSkipped,MC_SkipRate,Trades,WinTrades,WinRatePct,NetProfit,GrossProfit,GrossLoss,ProfitFactor,MaxDD_Pct,Sharpe,AvgSpreadPts_Exec,MC_EntryBufferPts_LastSignal,DeviationPts,RangeSizePts_Avg,RangeSizePts_Max,DaysWithRange,MC_SpreadMult_Min,MC_SpreadMult_Max,MC_SlipPts_Min,MC_SlipPts_Max,MC_DelayMs_Min,MC_DelayMs_Max,MC_FailProb_Min,MC_FailProb_Max,EntryFills,SlipFillVsRefPts_Avg,SlipFillVsReqPts_Avg,SlipFillVsRefPts_Max,SlipFillVsReqPts_Max,Profit_Long,Profit_Short,WinRate_Long,WinRate_Short,MaxConsecLosses
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,163,2.00,1.0870,281,613,0.077410,525,44,0.083810,479,230,48.02,1912.70,21210.76,-19298.06,1.10,12.98,1.59,186.18,298.40,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,479,0.00,281.00,0.00,281.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,494,2.50,1.3275,138,1444,0.084530,537,51,0.094972,484,228,47.11,2695.33,23015.70,-20320.37,1.13,12.54,2.18,185.65,203.50,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,484,0.00,138.00,0.00,138.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,2,1.00,1.0027,178,443,0.027154,513,24,0.046784,487,233,47.84,2711.21,23028.05,-20316.84,1.13,13.75,2.14,185.91,178.55,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,178.00,0.00,178.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,330,2.00,1.1703,192,666,0.041121,509,19,0.037328,488,234,47.95,3219.55,24202.88,-20983.33,1.15,10.08,2.48,185.93,226.06,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,192.00,0.00,192.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,334,1.00,1.0689,159,441,0.017431,497,7,0.014085,488,232,47.54,2781.27,23822.56,-21041.29,1.13,12.91,2.16,185.96,172.78,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,159.00,0.00,159.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,326,3.00,1.2693,101,673,0.047380,517,29,0.056093,486,231,47.53,3047.43,23445.21,-20397.78,1.15,13.16,2.34,185.83,154.86,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,486,0.00,101.00,0.00,101.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,160,3.00,1.1370,431,1576,0.057103,516,29,0.056202,486,225,46.30,1277.64,20653.50,-19375.86,1.07,14.34,1.10,185.69,458.39,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,486,0.00,431.00,0.00,431.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,496,2.00,1.2530,372,64,0.031397,500,12,0.024000,487,231,47.43,1000.60,20443.51,-19442.91,1.05,16.81,0.85,186.00,422.60,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,372.00,0.00,372.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,168,1.00,1.0358,68,142,0.022292,500,13,0.026000,485,236,48.66,3422.37,24577.80,-21155.43,1.16,16.32,2.59,186.17,75.17,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,485,0.00,68.00,0.00,68.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,332,1.50,1.1198,41,581,0.065996,522,35,0.067050,485,229,47.22,3248.14,24581.45,-21333.31,1.15,14.21,2.50,185.87,64.97,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,485,0.00,41.00,0.00,41.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,500,1.00,1.1020,49,140,0.012569,492,2,0.004065,488,235,48.16,3094.98,24591.25,-21496.27,1.14,15.93,2.36,186.17,69.40,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,49.00,0.00,49.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,162,2.50,1.1125,187,1449,0.003970,493,3,0.006085,488,230,47.13,2262.03,22757.28,-20495.25,1.11,11.92,1.81,185.91,209.50,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,187.00,0.00,187.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,498,1.50,1.1777,176,129,0.058703,518,28,0.054054,488,232,47.54,2329.71,22945.67,-20615.96,1.11,13.70,1.87,186.37,211.55,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,176.00,0.00,176.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,328,2.50,1.2200,412,696,0.094253,542,58,0.107011,483,227,47.00,713.43,18565.32,-17851.89,1.04,14.96,0.64,185.42,456.00,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,483,0.00,412.00,0.00,412.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,164,2.00,1.0876,12,67,0.050844,514,25,0.048638,488,233,47.75,2135.84,23414.83,-21278.99,1.10,15.86,1.69,185.99,29.52,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,12.00,0.00,12.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,166,1.50,1.0620,206,132,0.073288,541,54,0.099815,485,234,48.25,2715.04,22599.84,-19884.80,1.14,14.21,2.17,186.27,218.39,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,485,0.00,206.00,0.00,206.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,3,1.00,1.0029,44,170,0.013872,493,3,0.006085,488,235,48.16,2999.66,24451.59,-21451.93,1.14,15.89,2.29,186.50,44.59,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,44.00,0.00,44.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,335,1.00,1.0691,24,168,0.004149,492,2,0.004065,488,236,48.36,3169.17,24737.97,-21568.80,1.15,16.04,2.41,186.46,37.82,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,24.00,0.00,24.00,0.00,0.00,0.00,0.00,0
